conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
"1,79511E+18",Mon May 27 15:23:40 +0000 2024,0,Ini implikasi masih jadi presiden taun depan,"1,79511E+18",,,in,Hindia Widodo,0,0,0,https://x.com/und_cuckoosnest/status/1795113649725460681,"1,76091E+18",und_cuckoosnest
"1,79504E+18",Mon May 27 10:24:21 +0000 2024,0,Sepertinya setelah pelantikan presiden dunia maya bakal lebih seru war buzzer vs buzzer ,"1,79504E+18",,,in,Dalem Sumur ,0,0,0,https://x.com/KangSuparmin/status/1795038323725029581,2556225356,KangSuparmin
"1,79499E+18",Mon May 27 07:18:28 +0000 2024,0,Menyatakan oposisi setelah pelantikan presiden baru,"1,79499E+18",,,in,,0,0,0,https://x.com/CantikSeorang/status/1794991547613905194,"1,73631E+18",CantikSeorang
"1,79491E+18",Mon May 27 04:36:40 +0000 2024,1,Sampai saat ini kondisi politik dan pertumbuhan ekonomi Indonesia baik-baik saja. Program yang masih ada kekurangan akan diperbaiki oleh presiden berikutnya. Bersama membangun bangsa.,"1,79495E+18",,DedynurPalakka,in,,0,0,0,https://x.com/R19cakra/status/1794950828601880779,"1,73096E+18",R19cakra
"1,79473E+18",Sun May 26 22:53:23 +0000 2024,0,pelantikan presiden baru kalo ada kebijakannya yg aneh aneh Kita ketawain bareng,"1,79486E+18",,jogmfs,in,,0,1,0,https://x.com/daunkaca/status/1794864436584575474,"1,24393E+18",daunkaca
"1,78665E+18",Sat May 04 06:46:00 +0000 2024,141,Menyalaa Jenderal Kami menantikan Pelantikan Presiden dan wakil presiden terpilih ,"1,78665E+18",https://pbs.twimg.com/ext_tw_video_thumb/1786647733916581888/pu/img/apqOtqcXJXyoKb0x.jpg,,in,,5,144,20,https://x.com/romoatheist/status/1786648453382365322,"1,7073E+18",romoatheist
"1,79468E+18",Sun May 26 10:40:33 +0000 2024,6,Saya akan menjadi presiden bagi seluruh rakyat Indonesia. Saya akan pastikan bahwa seluruh rakyat Indonesia sejahtera,"1,79468E+18",https://pbs.twimg.com/media/GOf79OCagAA30Iu.jpg,,in,,0,2,8,https://x.com/dancersejati07/status/1794680012811243980,"1,60575E+18",dancersejati07
"1,79397E+18",Sun May 26 10:07:38 +0000 2024,0,@CNNIndonesia Pelantikan presiden baru kok lama sekali yaaaa,"1,79467E+18",,CNNIndonesia,in,,0,0,0,https://x.com/JihadWathoni/status/1794671731548021192,"9,85089E+17",JihadWathoni
"1,79282E+18",Tue May 21 10:16:18 +0000 2024,6, @Dennysiregar7 Pengen banget segera ada pelantikan Presiden agar janji ini segera terealisasi https://t.co/UGHXaar4Iz,"1,79286E+18",https://pbs.twimg.com/media/GOGGdgjaEAAxfnh.jpg,Yattie2023,in,,0,0,1,https://x.com/Yanspekaknata/status/1792861973010653269,"1,74956E+18",Yanspekaknata
"1,79358E+18",Sun May 26 06:45:03 +0000 2024,0, Menjelang pelantikan presiden terpilih smg tdk menghidupkan kembali HTI & FPI,"1,79462E+18",,romoatheist,in,"Surakarta, Jawa Tengah",0,0,0,https://x.com/pdo3004/status/1794620747731943698,57238332,pdo3004
